a b c d e f g h i
196 -999 -0.1061 -0.4587 0.1991 -999 -0.2521 -0.4695 0.0545
197 -999 -0.0595 -0.4218 0.2461 -999 -0.2495 -0.4679 0.0566
198 -999 -0.1865 -0.5449 0.1054 -999 -0.2473 -0.4658 0.0574
199 -999 -0.2298 -0.6089 0.1006 -999 -0.2451 -0.4628 0.0598
200 -999 -0.2298 -0.5678 0.1029 -999 -0.2427 -0.4624 0.0614
201 -999 -0.2669 -0.6279 0.0608 -999 -0.2406 -0.4599 0.0628
202 -999 -0.2481 -0.5782 0.0599 -999 -0.238 -0.4574 0.0643
203 -999 -0.3237 -0.6698 0.1153 -999 -0.2364 -0.4548 0.0672
204 -999 -0.1912 -0.5368 0.1278 -999 -0.2342 -0.4534 0.0705
205 -999 -0.2118 -0.5478 0.1511 -999 -0.2325 -0.4523 0.0728
206 -999 -0.1384 -0.4748 0.2081 -999 -0.2305 -0.4491 0.0755
207 -999 -0.1933 -0.5249 0.1529 -999 -0.2285 -0.4473 0.0768
208 -999 -0.2693 -0.6538 0.1537 -999 -0.2267 -0.4457 0.0788
209 -999 -0.1053 -0.4688 0.2885 -999 -0.2256 -0.4422 0.0804
210 -999 -0.1289 -0.4709 0.2347 -999 -0.2248 -0.4408 0.0844
211 -999 -0.1575 -0.5299 0.1851 -999 -0.2237 -0.4389 0.0854
212 -999 -0.1397 -0.5538 0.2539 -999 -0.2223 -0.4383 0.0885
213 -999 -0.1578 -0.4918 0.1554 -999 -0.2202 -0.4363 0.0909
214 -999 -0.2369 -0.5948 0.0846 -999 -0.2189 -0.4334 0.0943
215 -999 -0.2364 -0.5928 0.1031 -999 -0.2175 -0.4329 0.0968
216 -999 -0.2057 -0.588 0.1442 -999 -0.2158 -0.4316 0.0995
217 -999 -0.1608 -0.5528 0.2049 -999 -0.2143 -0.4296 0.1013
218 -999 -0.2225 -0.616 0.1305 -999 -0.2128 -0.428 0.102
219 -999 -0.208 -0.5949 0.1621 -999 -0.211 -0.4239 0.1036
220 -999 -0.2375 -0.6259 0.1816 -999 -0.2093 -0.421 0.1065
221 -999 -0.2671 -0.6529 0.1391 -999 -0.2076 -0.4185 0.1091
222 -999 -0.187 -0.5408 0.1532 -999 -0.2055 -0.4169 0.1114
223 -999 -0.185 -0.5697 0.2022 -999 -0.2034 -0.4142 0.1142
224 -999 -0.1572 -0.5488 0.1895 -999 -0.2011 -0.4121 0.116
225 -999 -0.1339 -0.5138 0.2444 -999 -0.199 -0.4103 0.1173
226 -999 -0.168 -0.5368 0.192 -999 -0.1966 -0.4093 0.1197
227 -999 -0.1588 -0.5024 0.2086 -999 -0.1943 -0.4097 0.1214
228 -999 -0.2631 -0.6249 0.1012 -999 -0.1919 -0.4074 0.1228
229 -999 -0.1609 -0.5038 0.1807 -999 -0.1891 -0.4044 0.1241
230 -999 -0.2513 -0.5974 0.1088 -999 -0.1863 -0.4024 0.1254
231 -999 -0.1922 -0.5557 0.1823 -999 -0.1835 -0.3991 0.1265
232 -999 -0.1911 -0.5708 0.193 -999 -0.1806 -0.3965 0.1281
233 -999 -0.1867 -0.5628 0.1681 -999 -0.1775 -0.3942 0.1294
234 -999 -0.2288 -0.5868 0.1107 -999 -0.1744 -0.3905 0.1307
235 -999 -0.1927 -0.588 0.1775 -999 -0.1705 -0.3857 0.1312
236 -999 -0.1904 -0.5608 0.1703 -999 -0.168 -0.3844 0.132
237 -999 -0.1653 -0.5159 0.1807 -999 -0.1644 -0.3816 0.1338
238 -999 -0.1326 -0.4768 0.2301 -999 -0.1624 -0.3793 0.1334
239 -999 -0.0648 -0.3919 0.3149 -999 -0.1598 -0.3779 0.1332
240 -999 -0.166 -0.5174 0.1375 -999 -0.1579 -0.3766 0.1352
241 -999 -0.0989 -0.4368 0.2321 -999 -0.1569 -0.3767 0.1348
242 -999 -0.085 -0.4308 0.2281 -999 -0.156 -0.3777 0.1347
243 -999 -0.1174 -0.4452 0.2393 -999 -0.1553 -0.3777 0.1337
244 -999 -0.0279 -0.3798 0.3428 -999 -0.1557 -0.3786 0.1322
245 -999 -0.0324 -0.3418 0.2971 -999 -0.1566 -0.3797 0.1314
246 -999 -0.04 -0.3858 0.3243 -999 -0.1579 -0.3818 0.1305
247 -999 -0.0326 -0.3451 0.3176 -999 -0.1603 -0.3831 0.1296
248 -999 -0.0855 -0.4198 0.2507 -999 -0.1621 -0.3874 0.1275
249 -999 -0.056 -0.4062 0.313 -999 -0.1646 -0.3905 0.1246
250 -999 0.0152 -0.3157 0.4672 -999 -0.1674 -0.396 0.1213
251 -999 -0.173 -0.5202 0.1424 -999 -0.1708 -0.4008 0.1197
252 -999 -0.0428 -0.3956 0.2854 -999 -0.1739 -0.4033 0.1181
253 -999 -0.1242 -0.4738 0.1711 -999 -0.1772 -0.4076 0.1154
254 -999 -0.1419 -0.5319 0.1909 -999 -0.1806 -0.4137 0.1107
255 -999 -0.1439 -0.5498 0.1886 -999 -0.1837 -0.4201 0.1081
256 -999 -0.1675 -0.5328 0.1666 -999 -0.1866 -0.4234 0.1047
257 -999 -0.2247 -0.6228 0.0731 -999 -0.1889 -0.427 0.1023
258 -999 -0.2163 -0.5444 0.1067 -999 -0.1915 -0.4339 0.0995
259 -999 -0.2099 -0.5369 0.0982 -999 -0.1932 -0.439 0.0953
260 -999 -0.3165 -0.6948 0.0079 -999 -0.1948 -0.4433 0.0925
261 -999 -0.2498 -0.6137 0.062 -999 -0.1965 -0.4504 0.0894
262 -999 -0.2208 -0.5859 0.0884 -999 -0.1979 -0.454 0.0867
263 -999 -0.2269 -0.5908 0.1139 -999 -0.1993 -0.4589 0.0838
264 -999 -0.1909 -0.5169 0.1366 -999 -0.1999 -0.4622 0.0812
265 -999 -0.2756 -0.6349 0.0295 -999 -0.2005 -0.4645 0.0787
266 -999 -0.218 -0.5638 0.1345 -999 -0.2004 -0.4692 0.0764
267 -999 -0.2383 -0.6328 0.0964 -999 -0.2002 -0.4717 0.0755
268 -999 -0.2127 -0.6032 0.1371 -999 -0.1997 -0.4749 0.0731
269 -999 -0.1727 -0.6058 0.2665 -999 -0.1985 -0.477 0.0709
270 -999 -0.1774 -0.5782 0.2693 -999 -0.1971 -0.4784 0.0695
271 -999 -0.2708 -0.6849 0.0977 -999 -0.1954 -0.4808 0.0676
272 -999 -0.2304 -0.668 0.1366 -999 -0.1932 -0.481 0.0658
273 -999 -0.209 -0.6218 0.1291 -999 -0.1912 -0.4813 0.0656
274 -999 -0.3029 -0.7859 0.1268 -999 -0.1889 -0.4813 0.0649
275 -999 -0.251 -0.686 0.063 -999 -0.1862 -0.4812 0.0645
276 -999 -0.2256 -0.6588 0.0739 -999 -0.1839 -0.4801 0.0644
277 -999 -0.2095 -0.6098 0.0836 -999 -0.1806 -0.4792 0.0647
278 -999 -0.167 -0.5576 0.1233 -999 -0.1773 -0.4788 0.0648
279 -999 -0.1873 -0.5848 0.1331 -999 -0.1742 -0.4767 0.0644
280 -999 -0.2167 -0.5678 0.0531 -999 -0.1712 -0.4757 0.0643
281 -999 -0.207 -0.5808 0.0568 -999 -0.1683 -0.4733 0.0641
282 -999 -0.0706 -0.3988 0.2271 -999 -0.1654 -0.4699 0.0645
283 -999 -0.1466 -0.5205 0.1302 -999 -0.1626 -0.4671 0.0658
284 -999 -0.081 -0.4779 0.2641 -999 -0.16 -0.4649 0.0671
285 -999 -0.1509 -0.5283 0.1186 -999 -0.1576 -0.4624 0.0672
286 -999 -0.122 -0.4609 0.1763 -999 -0.1556 -0.4603 0.0679
287 -999 -0.2115 -0.6 0.0789 -999 -0.1539 -0.4576 0.0691
288 -999 -0.1441 -0.4868 0.151 -999 -0.1528 -0.4541 0.07
289 -999 -0.1803 -0.5315 0.0882 -999 -0.1514 -0.4496 0.0713
290 -999 -0.2499 -0.6468 0.0475 -999 -0.1501 -0.4464 0.0723
