481505.45090261	-1621170.78873165	163.458004773 -74.5260293169 26.188 58476.6756597
481505.45273580	-1621170.78899463	163.458004716 -74.5260293099 26.179 58476.6758333
481505.45244869	-1621170.78647295	163.458004701 -74.5260293325 26.191 58476.6760069
481505.45453076	-1621170.78798857	163.458004648 -74.526029314 26.178 58476.6761806
481505.45547393	-1621170.78774304	163.458004615 -74.5260293137 26.184 58476.6763542
481505.45550166	-1621170.78628137	163.4580046 -74.5260293263 26.191 58476.6765278
481505.45326036	-1621170.78765071	163.458004686 -74.5260293202 26.175 58476.6767014
481505.45393600	-1621170.78671178	163.458004655 -74.5260293266 26.176 58476.676875
481505.45415501	-1621170.78392442	163.458004621 -74.5260293502 26.191 58476.6770486
481505.45595515	-1621170.78811920	163.458004603 -74.5260293092 26.181 58476.6772222
481505.45542945	-1621170.78655659	163.458004605 -74.5260293241 26.193 58476.6773958
481505.45530118	-1621170.78819808	163.458004625 -74.5260293102 26.19 58476.6775694
481505.45664564	-1621170.78494956	163.45800455 -74.5260293349 26.174 58476.6777431
481505.45460789	-1621170.78420518	163.458004609 -74.5260293466 26.189 58476.6779167
481505.45508959	-1621170.78582700	163.458004609 -74.5260293313 26.19 58476.6780903
481505.45381972	-1621170.78683860	163.45800466 -74.5260293258 26.185 58476.6782639
481505.45313697	-1621170.78568023	163.458004671 -74.5260293376 26.199 58476.6784375
481505.45631325	-1621170.78725151	163.458004583 -74.5260293158 26.189 58476.6786111
481505.45568346	-1621170.78482007	163.45800458 -74.5260293385 26.179 58476.6787847
481505.45368188	-1621170.78813688	163.458004677 -74.5260293149 26.188 58476.6789583
481505.45490097	-1621170.78591762	163.458004616 -74.526029331 26.195 58476.6791319
481505.45774558	-1621170.78357316	163.458004501 -74.526029344 26.192 58476.6793056
481505.45388809	-1621170.78478809	163.458004638 -74.5260293434 26.19 58476.6794792
481505.45368321	-1621170.78347625	163.458004632 -74.5260293553 26.186 58476.6796528
481505.45402557	-1621170.78255557	163.458004612 -74.5260293624 26.186 58476.6798264
481505.45616766	-1621170.78479161	163.458004564 -74.5260293375 26.196 58476.68
481505.45725783	-1621170.78255297	163.458004507 -74.5260293541 26.189 58476.6801736
481505.45559224	-1621170.78472028	163.458004582 -74.5260293396 26.193 58476.6803472
481505.45523324	-1621170.78330426	163.45800458 -74.5260293528 26.193 58476.6805208
481505.45703555	-1621170.78501832	163.458004538 -74.5260293333 26.191 58476.6806944
481505.45599454	-1621170.78431241	163.458004565 -74.5260293421 26.187 58476.6808681
481505.45394456	-1621170.78445987	163.458004633 -74.5260293461 26.184 58476.6810417
481505.45610102	-1621170.78321955	163.458004551 -74.5260293513 26.188 58476.6812153
481505.45574889	-1621170.78327799	163.458004563 -74.5260293517 26.184 58476.6813889
481505.45195291	-1621170.78096794	163.458004664 -74.5260293815 26.196 58476.6815625
481505.45467138	-1621170.78576664	163.458004622 -74.5260293329 26.185 58476.6817361
481505.45286899	-1621170.78384497	163.458004662 -74.5260293542 26.188 58476.6819097
481505.45478682	-1621170.78345992	163.458004596 -74.5260293526 26.186 58476.6820833
481505.45248833	-1621170.78328899	163.458004669 -74.52602936 26.19 58476.6822569
